NodeID4,Worklflow_Node,Unit_Node1_1,Unit_Node1_2,Unit_Node1_3,Unit_Node1_4,Unit_Node1_5,Unit_Node1_6,Unit_Node1_7,Unit_Node1_8,IC
fa222,Label Compliance Workflow,Regulatory Label Review,Labeling Requirements,Documentation Management,END,,,,,1
fa223,Kit Shipping Workflow,Packaging Inspection,Component Inspection,Shipping Compliance,END,,,,,1
fa231,Receiving Workflow,Receiving Turkey Components,Sanitation SOP Implementation,Storage of Packaging and Materials,END,,,,,1
fa232,Grinding Workflow,Grinding Operations,Temperature Monitoring,Metal Detection,END,,,,,1
fa233,Packaging Workflow,Product Packaging,Labeling Compliance,Temperature Monitoring,Sanitation SOP Implementation,END,,,,1
fa241,Receiving Workflow,Meat Receiving,Sanitation SOP Implementation,END,,,,,,1
fa242,Cold Storage Workflow,Initial Cold Storage,Temperature Control,END,,,,,,1
fa243,Packaging Workflow,Product Packaging,Labeling Compliance,Sanitation SOP Implementation,Temperature Control,END,,,,1
fa251,Import Process Workflow,Submission of Import Application,Sanitation SOP Implementation,Import Inspection Establishment Assignment,END,,,,,1
fa252,Inspection Compliance Workflow,Certification Verification,Temperature Monitoring,Sanitation SOP Implementation,END,,,,,1
fa253,Cold Storage Workflow,Storage Conditions Monitoring,Temperature Monitoring,Handling and Transport Preparation,END,,,,,1
fa261,Stabilization Workflow,Heat Treatment Validation,Sanitation SOP Implementation,Cooling Process Monitoring,END,,,,,1
fa262,Inspection Compliance Workflow,Label Verification,Certification Review,Sanitation SOP Implementation,END,,,,,1
fa263,Cold Storage Workflow,Storage Condition Assessment,Temperature Monitoring,END,,,,,,1
fa271,Lethality Workflow,Salmonella Reduction by Cooking,Sanitation SOP Implementation,Relative Humidity Control,END,,,,,1
fa272,Stabilization Workflow,Cooling to Prevent Spore Growth,Sanitation SOP Implementation,Temperature Monitoring,END,,,,,1
fa273,Monitoring Workflow,Process Deviation Tracking,Temperature Monitoring,END,,,,,,1
fa281,Receiving Workflow,Beef Receiving,Non-Meat Ingredients Receiving,Packaging Material Receiving,Sanitation SOP Implementation,END,,,,1
fa282,Marinating Workflow,Weighing and Mixing Marinade Ingredients,Marinate Beef and Place on Racks,Sanitation SOP Implementation,END,,,,,1
fa283,Cooking Workflow,"Cooking (Lethality Step, CCP 1)",Temperature Monitoring,END,,,,,,1
fa284,Drying Workflow,Drying (CCP 2),Temperature Monitoring,END,,,,,,1
fa285,Packaging Workflow,Metal Detection,Packaging and Labeling,Sanitation SOP Implementation,END,,,,,1
fa286,Cold Storage Workflow,Cold Storage of Finished Products,Temperature Monitoring,END,,,,,,1
fa291,Receiving Workflow,Pork Receiving,Non-Meat Ingredients Receiving,Packaging Materials Receiving,Sanitation SOP Implementation,END,,,,1
fa292,Marinating and Preparation Workflow,Weighing and Mixing Marinade,Injecting Pork Belly,Hanging for Smoking,END,,,,,1
fa293,Smoking Workflow,Smoking Process,Cooling (Critical Control Point: CCP 1),END,,,,,,1
fa294,Packaging Workflow,Slicing,Packaging and Labeling,Sanitation SOP Implementation,END,,,,,1
fa295,Distribution Workflow,Storage and Distribution,Labeling Compliance,Returned Product Handling,END,,,,,1
fa301,Customer Complaint Response Workflow,Receipt of Customer Complaints,Customer Complaint Documentation,Initial Investigation of Complaints,Notification to FSIS,END,,,,1
fa302,HACCP Compliance Workflow,HACCP Compliance Workflow,Corrective Action Implementation,Recordkeeping for HACCP Updates,END,,,,,1
fa303,Regulatory Compliance Workflow,FSIS Reporting Protocols,Notification to FSIS,Compliance Documentation,END,,,,,1
fa311,Receiving Workflow,Meat Receiving,Packaging Material Receiving,Sanitation SOP Implementation,END,,,,,1
fa312,Processing Workflow,Grinding and Blending,Allergen Control Program,Temperature Monitoring,END,,,,,1
fa313,Cooling Workflow,Rapid Cooling,Temperature Monitoring,END,,,,,,1
fa314,Packaging Workflow,Product Labeling,Sanitation SOP Implementation,Allergen Control Program,END,,,,,1
fa321,Receiving Workflow,Receiving Live Birds,Sanitation SOP Implementation,END,,,,,,1
fa322,Scalding Workflow,Scald Water Maintenance,Antimicrobial Application,END,,,,,,1
fa323,Chilling Workflow,Rapid Chilling,Temperature Monitoring,END,,,,,,1
fa324,Processing Workflow,Carcass Trimming,Temperature Monitoring,END,,,,,,1
fa325,Packaging Workflow,Product Labeling,Temperature Monitoring,Sanitation SOP Implementation,END,,,,,1
fa331,Receiving Workflow,Live Hog Receiving,Non-Meat Ingredient Receiving,Sanitation SOP Implementation,END,,,,,1
fa332,Processing Workflow,Scalding,Trimming and Sorting,Organic Acid Spray Application,Temperature Monitoring,END,,,,1
fa333,Cooling Workflow,Rapid Cooling,Temperature Monitoring,END,,,,,,1
fa334,Packaging Workflow,Final Product Packaging,Organic Acid Spray Application,Sanitation SOP Implementation,END,,,,,1
fa341,Receiving Workflow,Receive Live Birds,Establishment Sorting,Monitoring Carcasses for Fecal Contamination,END,,,,,1
fa342,Processing Workflow,Scalding and Picking,Pre-chilling Antimicrobial Application,Chilling of All Products,END,,,,,1
fa343,Packaging Workflow,Product Inspection,Pre-chilling Antimicrobial Application,Labeling and Packaging,END,,,,,1
fa344,Shipping Workflow,Chilling of All Products,Shipping,END,,,,,,1
fa351,Receiving Workflow,Live Hog Receiving,Non-Meat Receiving,END,,,,,,1
fa352,Processing Workflow,"Stunning, Sticking, and Bleeding",Zero Tolerance Examination,Organic Acid Spray Application,END,,,,,1
fa353,Packaging Workflow,"Fabrication, Packaging, and Labeling",Zero Tolerance Examination,END,,,,,,1
fa361,Receiving Workflow,Raw Material Receiving,Sanitation SOP Development,Hazard Analysis,END,,,,,1
fa362,Processing Workflow,Grinding and Blending,Sanitation SOP Development,Hazard Analysis,Temperature Monitoring,END,,,,1
fa363,Cooling Workflow,Rapid Cooling,Temperature Monitoring,END,,,,,,1
fa364,Packaging Workflow,Product Labeling and Packaging,Sanitation SOP Development,END,,,,,,1
fa365,Pasteurization Workflow,Pasteurization Parameter Validation,END,,,,,,,1
fa371,Pasteurization Workflow,Hazard Analysis and Critical Control Point,Monitoring Equipment Calibration,END,,,,,,1
fa372,Cooling Workflow,Rapid Cooling,Pathogen Monitoring and Sampling,Sanitation Standard Operating Procedures,END,,,,,1
fa373,Freezing Workflow,Freezing Parameter Validation,Hazard Analysis and Critical Control Point,END,,,,,,1
fa374,Post-Processing Workflow,Post-Lethality Handling,Pathogen Monitoring and Sampling,END,,,,,,1
fa381,Receiving Workflow,Receiving Raw Materials,Sanitation SOP Implementation,Hazard Analysis Implementation,END,,,,,1
fa382,Storage Workflow,Frozen Storage Maintenance,Temperature Control Monitoring,END,,,,,,1
fa383,Processing Workflow,Grinding and Mixing,Hazard Analysis Implementation,Temperature Control Monitoring,END,,,,,1
fa384,Packaging Workflow,Product Labeling and Sealing,Sanitation SOP Implementation,Temperature Control Monitoring,END,,,,,1
fa391,User Management Workflow,Log In to LSAS,Create New Profile,Manage Users,END,,,,,1
fa392,Profile Creation Workflow,Log In to LSAS,Create New Profile,Request Profile Access,END,,,,,1
fa393,Submission Workflow,Log In to LSAS,Manage Establishments,Submit Label Application,END,,,,,1
fa394,Establishment Management Workflow,Manage Establishments,Add Establishment,Update Establishment,END,,,,,1
fa401,Process Control Workflow,Develop Microbiological Sampling Plan,Implement Sanitation SOPs,Monitor Process Control Parameters,END,,,,,1
fa402,HACCP Compliance Workflow,Develop Microbiological Sampling Plan,Conduct Hazard Analysis,Recordkeeping for Compliance,END,,,,,1
fa403,Statistical Analysis Workflow,Monitor Process Control Parameters,Chart and Interpret Test Results,Recordkeeping for Compliance,END,,,,,1
fa411,Enrollment Workflow,Obtain eAuthentication Credentialing,PHIS Enrollment,END,,,,,,1
fa412,Documentation Workflow,Upload Supporting Documentation,Submit Supporting Documentation,Translation Verification Process,END,,,,,1
fa413,Submission Workflow,Complete SRT Responses,Submit Supporting Documentation,PHIS Enrollment,END,,,,,1
fa414,Translation Workflow,Submit SRT in Native Language,Translation Verification Process,END,,,,,,1
fa421,Ante-Mortem Sorting Workflow,Pre-Sorting Prior to Arrival,Sorting on Premises,Establishment Recordkeeping,END,,,,,1
fa422,Post-Mortem Sorting Workflow,Identification of Food Safety Conditions,Proper Presentation of Carcasses,Establishment Recordkeeping,END,,,,,1
fa423,Food Safety Condition Sorting Workflow,Contamination Detection,Foreign Animal Disease Surveillance,Proper Presentation of Carcasses,END,,,,,1
fb011,Vaccine Storage Workflow,Cold Chain Maintenance,Vaccine Temperature Monitoring,Proper Vaccine Storage Practices,END,,,,,1
fb012,Transport Workflow,Cold Chain Maintenance,Vaccine Transport Guidelines,Diluent and Vaccine Pairing,END,,,,,1
fb013,Staff Training Workflow,Staff Training and SOP Implementation,Emergency Response Training,END,,,,,,1
fb014,Emergency Handling Workflow,Vaccine Temperature Monitoring,Staff Training and SOP Implementation,Emergency Vaccine Transport,END,,,,,1
fb021,Non-Hospital Settings Workflow,Diagnostic Accuracy Assessment,Critical Illness Identification,Clinical Signs Observation,END,,,,,1
fb022,Hospital Settings Workflow,Diagnostic Accuracy Assessment,Suspected Sepsis Evaluation,Treatment Protocol Administration,END,,,,,1
fb023,Clinical Severe Infection Workflow,Treatment Failure Monitoring,Adverse Events Recording,Alternative Regimen Assessment,END,,,,,1
fb024,Isolated Fast Breathing Workflow,Treatment Failure Monitoring,Oral Amoxicillin Administration,Community-Based Case Management,END,,,,,1
fb031,Burden Reduction Workflow,Mass Drug Administration,Seasonal Chemoprevention,Larviciding in Urban Areas,END,,,,,1
fb032,Transmission Reduction Workflow,Mass Drug Administration (MDA),Targeted Drug Administration,Indoor Residual Spraying,END,,,,,1
fb033,Vaccine Deployment Workflow,Malaria Vaccine Administration,Seasonal Vaccination Strategy,Catch-Up Vaccination,END,,,,,1
fb034,Surveillance Workflow,Monitoring Drug Efficacy,Reactive Case Detection,Geographic Targeting of Interventions,END,,,,,1
fb041,Burn Response Coordination Workflow,Burn Assessment and Initial Care,Medical Evacuation (MEDEVAC),Resource Allocation and Coordination,END,,,,,1
fb042,Burn Patient Management Workflow,Burn Assessment and Initial Care,Rehabilitation Planning,Nutritional Support for Recovery,END,,,,,1
fb043,International Burn Care Coordination Workflow,Medical Evacuation (MEDEVAC),International Resource Mobilization,Specialized Team Deployment,END,,,,,1
fb044,Burn Rehabilitation Workflow,Rehabilitation Planning,Psychosocial Support Integration,Early Mobilization Therapy,END,,,,,1
fb051,Public Awareness Workflow,Health Education on GAS Infections,Community Campaigns,School-based Interventions,END,,,,,1
fb052,Primary Prevention Workflow,Health Education on GAS Infections,Rapid Diagnosis of GAS,Treatment of GAS Pharyngitis,END,,,,,1
fb053,Secondary Prevention Workflow,Antibiotic Prophylaxis for Secondary Prevention,Monitoring Adherence to Prophylaxis,Risk Stratification,END,,,,,1
fb054,Diagnostic Workflow,Use of Jones Criteria for RF Diagnosis,Echocardiographic Screening,Laboratory Confirmation of GAS,END,,,,,1
fb061,Universal Screening Workflow,Maternal Screening for GBS,IAP Implementation,Laboratory Diagnostics Support,END,,,,,1
fb062,Risk-Based Screening Workflow,Maternal Screening for GBS,IAP Implementation,Risk Factor Documentation,END,,,,,1
fb063,Health System Strengthening Workflow,Training and Capacity Building,Infrastructure Development,Quality Assurance Mechanisms,END,,,,,1
fb071,Severe Influenza Workflow,Diagnosis of Influenza,Use of Oseltamivir for Treatment,Adjunctive Immunomodulatory Therapy,END,,,,,1
fb072,Non-Severe Influenza Workflow,Diagnosis of Influenza,Supportive Care,END,,,,,,1
fb073,Seasonal Influenza Prevention Workflow,Use of Oseltamivir for Treatment,Vaccination Campaigns,END,,,,,,1
fb074,Risk-Based Workflow,Risk Factor Assessment,Tailored Antiviral Administration,END,,,,,,1
fb081,HIV Prevention Workflow,TB Preventive Treatment for HIV-Positive Individuals,Monitoring and Support for Adherence,Antigen-Based Tests for TBI,END,,,,,1
fb082,Household Contacts Workflow,TB Preventive Treatment for HIV-Positive Individuals,Use of Levofloxacin for MDR/RR-TB Prevention,Risk-Based Evaluation,END,,,,,1
fb083,Screening and Diagnosis Workflow,Systematic Screening for TB Disease,Chest Radiography for TB Screening,C-Reactive Protein for Diagnosis,END,,,,,1
fb084,MDR-TB Prevention Workflow,Use of Levofloxacin for MDR/RR-TB Prevention,Alternative Regimens for MDR Contacts,Adverse Reaction Management,END,,,,,1
fb091,TB Screening Workflow,Identifying Populations for TB Preventive Treatment,TB Screening and Ruling Out TB Disease,Contact Investigation,END,,,,,1
fb092,TB Preventive Treatment Workflow,Identifying Populations for TB Preventive Treatment,Preventive Treatment Options,Monitoring and Evaluation,END,,,,,1
fb093,Monitoring and Evaluation Workflow,TB Screening and Ruling Out TB Disease,Monitoring and Evaluation,Reporting and Feedback,END,,,,,1
fb101,Doctor-Patient Relationships Workflow,Effective Communication,Maintaining Professional Boundaries,Respecting Confidentiality,END,,,,,1
fb102,Cultural Safety Workflow,Effective Communication,Understanding Cultural Context,END,,,,,,1
fb103,Patient Safety Workflow,Risk Management,Open Disclosure,END,,,,,,1
fb104,Clinical Governance Workflow,Risk Management,Performance Monitoring,END,,,,,,1
fb111,Good Medical Practice,Effective Communication,Maintaining Competence,Risk Management,END,,,,,1
fb112,Patient Safety,Effective Communication,Informed Consent,Reporting Adverse Events,END,,,,,1
fb113,Healthcare Communication,Effective Communication,Language Assistance,Feedback Mechanisms,END,,,,,1
fb114,Ethical Practices,Informed Consent,Confidentiality,Professional Boundaries,END,,,,,1
fb115,Aboriginal and Torres Strait Islander Health,Cultural Safety,Community Engagement,Health Equity,END,,,,,1
fb121,Doctor-Patient Interaction Workflow,Building Trust,Maintaining Professional Boundaries,Effective Communication,END,,,,,1
fb122,Patient Care Workflow,Informed Consent,Safety Measures,END,,,,,,1
fb123,Ethical Practices Workflow,Informed Consent,Maintaining Professional Boundaries,END,,,,,,1
fb124,Communication Standards Workflow,Good Communication,Addressing Cultural Sensitivity,END,,,,,,1
fb131,Mandatory Notification Workflow,Understand Reporting Obligations,Identify Notifiable Concerns,Form Reasonable Belief,Report Concerns,END,,,,1
fb132,Treating Practitioners' Obligations,Monitor Patient-Practitioner Interactions,Evaluate Risk,Notify If Necessary,END,,,,,1
fb133,Employers' Notification Responsibilities,Assess Practitioner Conduct,Report Risks,Support Compliance,END,,,,,1
fb141,Preparation for Telehealth Consultation,Ensure Privacy of Consultation Space,Validate Technology Suitability,Confirm Patient Technology Access,Arrange Interpreter Services,Inform Patient of Billing Arrangements,END,,,1
fb142,Conducting Telehealth Consultation,Identify Participants,Explain Consultation Process,Obtain Informed Consent,Ensure Privacy of Consultation Space,Guide on Documentation Collection,END,,,1
fb143,Follow-up and Record Keeping,Arrange Follow-Up,Handover Information to Relevant Practitioners,Document Consultation Details,END,,,,,1
fb144,Prescribing and Cross-Jurisdictional Telehealth,Prescribe Responsibly,Validate Technology Suitability,END,,,,,,1
fb151,Preparing Advertising Content,Define Scope of Advertising,Ensure Advertising Compliance,Substantiate Claims with Evidence,Avoid Prohibited Practices,END,,,,1
fb152,Reviewing Published Advertisements,Monitor Compliance of Published Advertisements,Substantiate Claims with Evidence,Avoid Prohibited Practices,END,,,,,1
fb153,Handling Advertising Complaints,Receive and Document Complaints,Investigate Alleged Breaches,Enforce Compliance Measures,END,,,,,1
fb161,Preparing Cosmetic Surgery Advertising,Define Advertising Scope,Ensure Advertising Compliance,Substantiate Claims with Evidence,Provide Accurate Risk Information,END,,,,1
fb162,Reviewing Published Advertisements,Monitor Published Advertisements,Provide Accurate Risk Information,Avoid Prohibited Practices,END,,,,,1
fb163,Managing Advertising Violations,Identify Advertising Violations,Enforce Advertising Standards,Avoid Prohibited Practices,END,,,,,1
fb171,Pre-Procedure Assessment,Conduct Initial Consultation,Conduct Psychological Screening,Ensure Patient Understanding,Discuss Alternatives,END,,,,1
fb172,Consent and Cooling-Off Period,Ensure Patient Understanding,Obtain Informed Consent,Provide Financial Information,Schedule Procedure Post-Cooling-Off,END,,,,1
fb173,During the Procedure,Ensure Patient Understanding,Maintain Sterile and Safe Conditions,Monitor Patient Safety,END,,,,,1
fb174,Post-Procedure Care,Provide Post-Procedural Care,Document Procedure Details,Handle Complaints Professionally,END,,,,,1
fb181,Initial Supervision Setup,Assign Principal Supervisor,Develop Supervised Practice Plan,Conduct Orientation,END,,,,,1
fb182,Ongoing Supervision,Monitor Work Performance,Provide Constructive Feedback,Report to the Board,END,,,,,1
fb183,Adjusting Supervision Levels,Review Performance Reports,Adjust Supervision Levels,Inform the Board,END,,,,,1
fb184,Transition to General Registration,Evaluate Readiness for General Registration,Submit Final Report,END,,,,,,1
fb191,Responding to a Practice Information Notice,Provide Practice Information,Verify Compliance with the National Law,Notify of Delays or Issues,END,,,,,1
fb192,Compliance Monitoring,Provide Practice Information,Verify Compliance with the National Law,Respond to Practice Information Notice,END,,,,,1
fb193,Addressing Non-Compliance,Respond to Practice Information Notice,Provide Practice Information,Notify of Delays or Issues,END,,,,,1
fb201,Initial Planning and Scope Definition,Identify Supporting Organisations,Establish Expert Committee,Engage Stakeholders,Formalise Scope,END,,,,1
fb202,Evidence Gathering and Analysis,Develop Research Questions,Contract External Reviewers,Develop Research Protocols,Review Evidence,END,,,,1
fb203,Drafting and Refinement,Draft Guidelines,Engage Stakeholders,Revise Guidelines Based on Feedback,END,,,,,1
fb204,Final Approval and Release,Seek Endorsement,Approve and Release Guidelines,END,,,,,,1
fb211,Initial Planning and Evidence Selection,Appoint Experts and Stakeholders,Develop Inclusion and Exclusion Criteria,Contract Independent Methods Experts,END,,,,,1
fb212,Evidence Review and Quality Assessment,Review Evidence for Quality and Bias,Develop Draft Guidelines,END,,,,,,1
fb213,Draft Consultation and Refinement,Seek Feedback on Draft Guidelines,Engage Independent Expert Reviewers,END,,,,,,1
fb214,Finalisation and Release,Revise Draft Based on Feedback,Seek Approval for Final Release,Release Final Guidelines,END,,,,,1
fc011,Utility Setup Workflow,Responsibility for Installation,Confirmation of Separate Metering,Compliance with Water Efficiency Standards,Tenant Orientation on Utility Policies,END,,,,1
fc012,Utility Usage Workflow,Measurement of Utility Usage,Provision of Utility Bills,Verification of Billing Accuracy,END,,,,,1
fc013,Maintenance Workflow,Responsibility for Installation,Reporting Utility Issues,Addressing Repairs,END,,,,,1
fc014,Dispute Resolution Workflow,Reporting Utility Issues,Involving Ombudsman Services,Legal Action for Unpaid Utilities,END,,,,,1
fc021,Starting a Tenancy Workflow,Provision of the Tenancy Agreement,Landlord Disclosure of Material Facts,Condition Report Completion,Provision of Keys,END,,,,1
fc022,Holding Fee Workflow,Payment of Holding Fee,Holding Fee Application to Rent,Holding Fee Refund,END,,,,,1
fc023,Bond Dispute Workflow,Condition Report Completion,Lodgement of Bond with Fair Trading,Dispute Over Bond,END,,,,,1
fc024,Dispute Resolution Workflow,Provision of the Tenancy Agreement,Addressing Invalid Tenancy Terms,Holding Fee Refund,END,,,,,1
fc031,Bond Payment Workflow,Payment of Bond,Lodgement of Bond with NSW Fair Trading,Condition Report Completion,Issuance of Bond Deposit Notice,END,,,,1
fc032,Bond Refund Workflow,Bond Refund Claim Process,Submission of Claim for Refund Form,Dispute of Claim,Bond Refund Distribution,END,,,,1
