NodeID1,Top_Node,REID1,RE1,NodeID2,Domain(L1),REID2,RE2,NodeID3,Subdomain(L2),REID3,RE3,NodeID4,Workflow(L3),REID4,RE4,NodeID5,Unit_Node1,Description(L4),REID5,RE5,NodeID6,NextNode
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa014,Living or Raising Conditions Claims,ra014,Belonging to node 'Living or Raising Conditions Claims',fa0141,Define Living Conditions Claims,"Establish claims like °∞Free Range,°± °∞Cage Free,°± or °∞Pasture Raised°± and describe associated standards.",ra0141,Follow node 'Define Living Conditions Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa014,Living or Raising Conditions Claims,ra014,Belonging to node 'Living or Raising Conditions Claims',fa0112,Provide Supporting Documentation,"Include segregation and tracing mechanisms and additional substantiation (e.g., continuous outdoor access for free-range claims).",ra0141,Follow node 'Provide Supporting Documentation',fa0113,Obtain Third-Party Certification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa014,Living or Raising Conditions Claims,ra014,Belonging to node 'Living or Raising Conditions Claims',fa0113,Obtain Third-Party Certification,Use third-party certification to substantiate claims.,ra0141,Follow node 'Obtain Third-Party Certification',fa010,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa015,Negative Antibiotics Use Claims,ra015,Belonging to node 'Negative Antibiotics Use Claims',fa0151,Define Negative Antibiotics Use Claims,Clarify terms like °∞Raised Without Antibiotics°± or °∞No Antibiotics Ever°± and ensure claims are substantiated from birth to slaughter.,ra0151,Follow node 'Define Negative Antibiotics Use Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa015,Negative Antibiotics Use Claims,ra015,Belonging to node 'Negative Antibiotics Use Claims',fa0112,Provide Supporting Documentation,"Include descriptions of management practices, sampling programs, and segregation of treated animals.",ra0151,Follow node 'Provide Supporting Documentation',fa0113,Obtain Third-Party Certification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa015,Negative Antibiotics Use Claims,ra015,Belonging to node 'Negative Antibiotics Use Claims',fa0113,Obtain Third-Party Certification,Verify claims through routine sampling or certification.,ra0151,Follow node 'Obtain Third-Party Certification',fa010,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa016,Environment-Related Claims,ra016,Belonging to node 'Environment-Related Claims',fa0161,Define Environment-Related Claims,Establish claims like °∞Sustainably Farmed°± or °∞Carbon Neutral°± with supporting environmental data or studies.,ra0161,Follow node 'Define Environment-Related Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa016,Environment-Related Claims,ra016,Belonging to node 'Environment-Related Claims',fa0112,Provide Supporting Documentation,"Include tracing mechanisms, segregation methods, and substantiation of environmental impact claims.",ra0161,Follow node 'Provide Supporting Documentation',fa0113,Obtain Third-Party Certification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa016,Environment-Related Claims,ra016,Belonging to node 'Environment-Related Claims',fa0113,Obtain Third-Party Certification,Verify claims through an independent certifying organization.,ra0161,Follow node 'Obtain Third-Party Certification',fa010,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa021,Livestock and Poultry Residue Prevention Workflow,ra021,Belonging to node 'Livestock and Poultry Residue Prevention Workflow',fa0211,Confirm Producer History,Use the FSIS Residue Repeat Violators List (RRVL) to verify historical residue violations associated with producers before purchasing livestock.,ra0211,Follow node 'Confirm Producer History',fa0212,Purchase Animals Free of Violative Residues
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa021,Livestock and Poultry Residue Prevention Workflow,ra021,Belonging to node 'Livestock and Poultry Residue Prevention Workflow',fa0212,Purchase Animals Free of Violative Residues,Buy animals from producers with a history of providing residue-free animals and effective residue prevention programs.,ra0211,Follow node 'Purchase Animals Free of Violative Residues',fa0213,Ensure Animal Identification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa021,Livestock and Poultry Residue Prevention Workflow,ra021,Belonging to node 'Livestock and Poultry Residue Prevention Workflow',fa0213,Ensure Animal Identification,"Maintain sufficient animal identification (e.g., ear tags or tattoos) for traceability back to the producer.",ra0211,Follow node 'Ensure Animal Identification',fa0214,Provide Producer Information to FSIS
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa021,Livestock and Poultry Residue Prevention Workflow,ra021,Belonging to node 'Livestock and Poultry Residue Prevention Workflow',fa0214,Provide Producer Information to FSIS,Supply detailed producer information at ante-mortem inspection to prevent issues with residue testing.,ra0211,Follow node 'Provide Producer Information to FSIS',fa0215,Notify Producers of Detected Residues
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa021,Livestock and Poultry Residue Prevention Workflow,ra021,Belonging to node 'Livestock and Poultry Residue Prevention Workflow',fa0215,Notify Producers of Detected Residues,"Inform producers in writing about any detected residues, including violations or high levels of non-violative residues.",ra0211,Follow node 'Notify Producers of Detected Residues',fa020,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa022,HACCP System Controls for Historic Residue Violations,ra022,Belonging to node 'HACCP System Controls for Historic Residue Violations',fa0221,Obtain Supporting Documentation,"Gather documentation (e.g., audits, treatment records, or certifications) showing why a residue hazard is not reasonably likely to occur.",ra0221,Follow node 'Obtain Supporting Documentation',fa0222,Establish a Critical Control Point (CCP)
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa022,HACCP System Controls for Historic Residue Violations,ra022,Belonging to node 'HACCP System Controls for Historic Residue Violations',fa0222,Establish a Critical Control Point (CCP),"Include a CCP for residue control, such as residue testing or documentation reviews.",ra0221,Follow node 'Establish a Critical Control Point (CCP)',fa0223,Perform Residue Testing
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa022,HACCP System Controls for Historic Residue Violations,ra022,Belonging to node 'HACCP System Controls for Historic Residue Violations',fa0223,Perform Residue Testing,Use residue testing methods pre- or post-slaughter to ensure hazards are controlled.,ra0221,Follow node 'Perform Residue Testing',fa0224,Apply Corrective Actions for Violative Residues
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa022,HACCP System Controls for Historic Residue Violations,ra022,Belonging to node 'HACCP System Controls for Historic Residue Violations',fa0224,Apply Corrective Actions for Violative Residues,Reassess HACCP plans and adjust procedures following a residue violation.,ra0221,Follow node 'Apply Corrective Actions for Violative Residues',fa020,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa023,Residue Testing Considerations,ra023,Belonging to node 'Residue Testing Considerations',fa0231,Identify Residue Testing Methodology,"Select a residue testing method based on compounds detected, frequency of testing, and historical data.",ra0231,Follow node 'Identify Residue Testing Methodology',fa0232,Conduct Validation and Ongoing Verification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa023,Residue Testing Considerations,ra023,Belonging to node 'Residue Testing Considerations',fa0232,Conduct Validation and Ongoing Verification,Validate and verify testing methods to ensure accuracy and reliability.,ra0231,Follow node 'Conduct Validation and Ongoing Verification',fa0233,Implement Live or Post-Mortem Testing
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa023,Residue Testing Considerations,ra023,Belonging to node 'Residue Testing Considerations',fa0233,Implement Live or Post-Mortem Testing,"Perform residue testing on live animals or carcasses using various biological samples (e.g., blood, urine, tissue).",ra0231,Follow node 'Implement Live or Post-Mortem Testing',fa020,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa024,NSIS Sorting Procedures,ra024,Belonging to node 'NSIS Sorting Procedures',fa0241,Perform Residue Screening,Screen animals or carcasses ante- or post-mortem for potential residue violations.,ra0241,Follow node 'Perform Residue Screening',fa0242,Dispose of Animals with Violative Residues
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa024,NSIS Sorting Procedures,ra024,Belonging to node 'NSIS Sorting Procedures',fa0242,Dispose of Animals with Violative Residues,Remove diseased or residue-affected animals from the food supply before FSIS inspection.,ra0241,Follow node 'Dispose of Animals with Violative Residues',fa0243,Document Residue Testing Results
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa02,FSIS Guideline for Residue Prevention,ra02,Belonging to node 'FSIS Guideline for Residue Prevention',fa024,NSIS Sorting Procedures,ra024,Belonging to node 'NSIS Sorting Procedures',fa0243,Document Residue Testing Results,Maintain accurate records of testing results and sorting procedures.,ra0241,Follow node 'Document Residue Testing Results',fa020,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa031,Poultry Sorting and Inspection,ra031,Belonging to node 'Poultry Sorting and Inspection',fa0311,Conduct Classroom Training,Provide foundational knowledge about poultry anatomy and inspection protocols.,ra0311,Follow node 'Conduct Classroom Training',fa0312,Implement Wet Lab Training
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa031,Poultry Sorting and Inspection,ra031,Belonging to node 'Poultry Sorting and Inspection',fa0312,Implement Wet Lab Training,Hands-on training for practical identification of defects in poultry carcasses.,ra0311,Follow node 'Implement Wet Lab Training',fa0313,Perform On-the-Job Training
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa031,Poultry Sorting and Inspection,ra031,Belonging to node 'Poultry Sorting and Inspection',fa0313,Perform On-the-Job Training,Train personnel to conduct sorting at production speed while adhering to standards.,ra0311,Follow node 'Perform On-the-Job Training',fa0314,Monitor Sorting Performance
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa031,Poultry Sorting and Inspection,ra031,Belonging to node 'Poultry Sorting and Inspection',fa0314,Monitor Sorting Performance,Regularly assess sorters to ensure continued compliance with inspection standards.,ra0311,Follow node 'Monitor Sorting Performance',fa0315,Carcass Disposition Decision
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa031,Poultry Sorting and Inspection,ra031,Belonging to node 'Poultry Sorting and Inspection',fa0315,Carcass Disposition Decision,Determine whether carcasses meet wholesomeness criteria or require disposal.,ra0311,Follow node 'Carcass Disposition Decision',fa030,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa032,Disease Condition Evaluation,ra032,Belonging to node 'Disease Condition Evaluation',fa0321,Identify Disease Conditions,Identify generalized disease conditions by examining liver and spleen.,ra0321,Follow node 'Identify Disease Conditions',fa0322,Localized Trimming for Tumors
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa032,Disease Condition Evaluation,ra032,Belonging to node 'Disease Condition Evaluation',fa0322,Localized Trimming for Tumors,Trim affected areas.,ra0321,Follow node 'Localized Trimming for Tumors',fa0323,Generalized Disease Disposal
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa032,Disease Condition Evaluation,ra032,Belonging to node 'Disease Condition Evaluation',fa0323,Generalized Disease Disposal,Dispose of carcasses exhibiting systemic disease conditions.,ra0321,Follow node 'Generalized Disease Disposal',fa0324,Train Inspectors for Disease Identification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa032,Disease Condition Evaluation,ra032,Belonging to node 'Disease Condition Evaluation',fa0324,Train Inspectors for Disease Identification,Provide specialized training to accurately identify and manage diseased carcasses.,ra0321,Follow node 'Train Inspectors for Disease Identification',fa030,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa033,Meat Quality Control,ra033,Belonging to node 'Meat Quality Control',fa0331,Sorting Procedures Implementation,Systematically identify and remove parts that do not meet quality standards.,ra0331,Follow node 'Sorting Procedures Implementation',fa0332,Localized Condition Handling
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa033,Meat Quality Control,ra033,Belonging to node 'Meat Quality Control',fa0332,Localized Condition Handling,Address specific issues like localized contamination or defects.,ra0331,Follow node 'Localized Condition Handling',fa0323,Generalized Disease Disposal
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa033,Meat Quality Control,ra033,Belonging to node 'Meat Quality Control',fa0323,Generalized Disease Disposal,Ensure carcasses with widespread issues are removed from the supply chain.,ra0331,Follow node 'Generalized Disease Disposal',fa0315,Carcass Disposition Decision
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa03,FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS),ra03,Belonging to node 'FSIS Guideline for Training Establishment Carcass Sorters in the New Poultry Inspection System (NPIS)',fa033,Meat Quality Control,ra033,Belonging to node 'Meat Quality Control',fa0315,Carcass Disposition Decision,Regularly inspect processes to confirm adherence to quality control protocols.,ra0331,Follow node 'Carcass Disposition Decision',fa030,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa04,"FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations",ra04,"Belonging to node 'FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations'",fa041,"Donating Meat, Poultry, and Egg Products",ra041,"Belonging to node 'Donating Meat, Poultry, and Egg Products'",fa0411,Identify Products Eligible for Donation,"Determine if products are federally inspected, misbranded, economically adulterated, intended for export, or expired but safe for consumption.",ra0411,Follow node 'Identify Products Eligible for Donation',fa0412,Verify Product Condition
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa04,"FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations",ra04,"Belonging to node 'FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations'",fa041,"Donating Meat, Poultry, and Egg Products",ra041,"Belonging to node 'Donating Meat, Poultry, and Egg Products'",fa0412,Verify Product Condition,"Ensure that donated products are wholesome, free from adulteration, and properly labeled.",ra0411,Follow node 'Verify Product Condition',fa0413,Label Products for Donation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa04,"FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations",ra04,"Belonging to node 'FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations'",fa041,"Donating Meat, Poultry, and Egg Products",ra041,"Belonging to node 'Donating Meat, Poultry, and Egg Products'",fa0413,Label Products for Donation,"Apply appropriate labels such as ""Not for Sale"" or ""For Charity Only"" to distinguish donated products.",ra0411,Follow node 'Label Products for Donation',fa0414,Ship Products Safely
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa04,"FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations",ra04,"Belonging to node 'FSIS Guideline to Assist with the Donation of Eligible Meat, Poultry & Egg Products to Non-Profit Organizations'",fa041,"Donating Meat, Poultry, and Egg Products",ra041,"Belonging to node 'Donating Meat, Poultry, and Egg Products'",fa0414,Ship Products Safely,Ensure donated products are transported under conditions that maintain their wholesomeness.,ra0411,Follow node 'Ship Products Safely',fa040,End
